Customer_Name,Renewal_Date,Customer_Review,Net_Promoter_Score
People Graphics,2022-02-01,"Your vendor partnership has been approved by Microsoft. Please choose a link from the list below.

[Back to top]

How do I contact Microsoft support if I have questions?

You may contact Microsoft support at",10
Alpha East Research,2019-06-01,"In terms of success, your software has been widely used in businesses across the world over the last five years.

I know that it is hard to measure how well your software works in the real world but it seems that the vast majority of the time this product works well,",10
Power Studio,2019-10-01,"I would characterize the value we got from your software offering as relatively low in terms of performance, but significantly higher in terms of features. That said, we really did find something missing in your product, something that really needed to be",7
Virtual South Speed,2015-08-01, ,4
Virtual Internet,2022-10-01, ,4
Interactive Data,2020-11-01,"Your team responded to our requests in a less than optimal manner: you're the first reviewer and we are the second. Your response was not helpful, and as a result, we will not be reviewing your product. The product was",10
Max Future Solutions,2021-07-01,"My experience with customer support was great and overall, the support was excellent. My only complaint against the company is the customer service department doesn't offer any service beyond talking about their product. This company should be focusing on selling a good",2
Future People Application,2017-09-01,My experience with customer support was outstanding. I received a friendly and professional response from our customer support team which was helpful and quick to respond. I did not have to call a number at all to have my questions answered and it was,8
Hardware East,2014-01-01,"Your team responded to our requests in a timely manner.

Product review: Not applicable to your company.

Product review: Inaccurate information to the best extent possible.

Product review: Please include a link",10
Federated Pacific Innovation,2020-07-01,"My team enjoyed your software for the most part, but found it too difficult

Product review: User interface is a bit cumbersome, but easy to use.

Product review: Many interesting apps exist on a device, but",10
Data Innovation Studio,2021-01-01,"I would characterize the value we got from your software offering as high if not even near that in every area.

A.J.R. Hsieh: Absolutely. When I talk about value, I'm not looking",8
Solutions Interactive Alpha,2022-05-01, ,4
Contract Universal Research,2012-07-01,"By the end the team and I thought it was solid, even if it required some extra work from the developer. The whole team worked on implementing some great features and we are thrilled with the result. And the code was done well",6
